month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,17,14,655,25.15,941,28.8,73.68
1,17,14,235,30.63,887,28.700000000000003,74.11
1,17,15,798,36.74,798,28.6,74.84
1,17,15,625,43.22,712,28.4,75.71000000000001
1,17,16,618,49.91,618,28.3,77.10000000000001
1,17,16,508,56.74,508,28.0,78.53
1,17,17,341,63.65,393,27.8,81.55
1,17,17,159,70.61,272,27.4,83.47
1,17,18,156,77.59,156,27.1,86.60000000000001
1,17,18,41,84.53,53,26.9,87.62
1,18,6,0,100.65,0,25.200000000000003,97.81
1,18,6,0,93.66,0,25.4,96.75
1,18,7,24,86.45,31,25.6,96.52
1,18,7,84,79.55,124,25.9,94.83
1,18,8,149,72.57000000000001,241,26.1,94.39
1,18,8,327,65.59,362,26.4,92.74
1,18,9,415,58.66,483,26.6,90.25
1,18,9,596,51.79,596,26.9,88.68
1,18,10,701,45.04,701,27.1,86.72
1,18,10,661,38.47,791,27.4,85.21000000000001
1,18,11,619,32.21,867,27.6,83.02
1,18,11,159,26.49,926,27.8,81.98
1,18,12,655,21.73,965,28.0,80.38
1,18,12,660,18.69,988,28.1,79.91
1,18,13,731,18.27,993,28.200000000000003,79.19
1,18,13,835,20.61,976,28.200000000000003,79.19
1,18,14,739,24.96,942,28.200000000000003,79.13
1,18,14,692,30.46,888,28.1,79.59
1,18,15,695,36.59,819,28.1,79.99
1,18,15,606,43.08,733,27.9,80.92
1,18,16,523,49.79,635,27.8,82.5
1,18,16,359,56.63,525,27.6,83.47
1,18,17,284,63.55,407,27.4,86.98
1,18,17,206,70.52,285,27.1,88.52
1,18,18,116,77.51,165,26.9,89.78
1,18,18,42,84.46000000000001,58,26.8,90.31
1,19,6,0,100.75,0,25.4,96.68
1,19,6,0,93.75,0,25.6,95.63
1,19,7,4,86.52,33,25.700000000000003,97.52
1,19,7,7,79.62,130,25.9,96.47
1,19,8,11,72.63,248,26.1,97.56
1,19,8,17,65.64,371,26.1,97.65
1,19,9,26,58.69,492,26.200000000000003,96.38
1,19,9,36,51.81,605,26.3,95.81
1,19,10,46,45.05,708,26.3,93.9
1,19,10,55,38.46,798,26.6,92.26
